"statistic","source","condition","score","p_value"
"viper","ETS2","V1",-0.145327269800186,0.884452485087499
"viper","TWIST1","V1",0.138382884892216,0.889937822750887
"viper","ERG","V1",-0.134572803769385,0.892949645421046
"viper","POU2F1","V1",0.0970449185869514,0.922690722893728
"viper","EGR1","V1",-0.0932313821124026,0.925719743636908
"viper","TFAP2C","V1",0.0865405855274239,0.931036694484819
"viper","SMAD4","V1",0.0736350370184481,0.941300791294997
"viper","YY1","V1",0.0379527849899151,0.969725327001402
"viper","WT1","V1",-0.0312121595592131,0.975100342713822
"viper","NFIC","V1",-0.0192000105700639,0.984681549171331
