"","PDX22","PDX43","PDX59","G83","PDX10","HK281"
"ENSG00000143452.16",0,0,0,0,0,0
"ENSG00000206931.1",0,0,0,0,0,0
"ENSG00000163131.12",234.29,45.13,768.07,5.7,205.74,216.3
"ENSG00000236713.1",0,0,0,0,0,0
"ENSG00000143387.14",231.22,352.84,59.23,22.81,280.56,645.82
"ENSG00000224690.2",0,0,0,0,0,0
"ENSG00000143437.21",2288.66,2098.59,2639.87,2692.65,6419.81,8139.33
"ENSG00000200175.1",0,0,0,0,0,0
"ENSG00000224800.1",4.09,0,1.97,1.9,2.67,4.1
"ENSG00000283324.1",0,0,0,0,0,2.05
"ENSG00000229357.1",0,0,0,0,0,0
"ENSG00000143379.12",2313.22,2804.28,2754.39,2421.77,7594.58,6550.42
"ENSG00000143418.20",15360.73,9234.42,9398.48,8461.94,22863.01,28553.27
"ENSG00000259357.2",25.58,6.15,5.92,3.8,24.94,14.35
"ENSG00000231073.1",8.18,1.03,4.94,0,0,0
"ENSG00000143412.10",16.37,21.54,7.9,34.22,16.03,102.51
"ENSG00000143409.16",367.29,675.94,1689.16,204.35,2855.43,8454.04
"ENSG00000143363.17",696.73,1741.65,1986.32,1592.02,4871.86,5081.44
"ENSG00000200759.1",0,0,0,0,0,0
"ENSG00000163141.20",18.42,68.72,31.59,39.92,97.08,51.26
"ENSG00000143443.10",199.5,291.3,811.51,6.65,1209.5,666.32
"ENSG00000197622.13",7137.1,5219.81,6136.65,3369.38,16978.48,22640.46
"ENSG00000213190.4",1012.86,3644.33,6600.65,261.38,5981.61,7407.41
"ENSG00000143458.12",931.02,307.71,224.1,169.18,1924.7,35.88
"ENSG00000233717.1",0,0,0,0,0,0
"ENSG00000261168.1",10.23,20.51,6.91,0.95,51.66,28.7
"ENSG00000143434.16",120.73,548.75,343.56,239.52,652.85,1386.97
"ENSG00000163154.6",0,0,1.97,0,0,0
"ENSG00000163156.12",2035.96,1399.06,1788.87,736.61,4144.2,4533.01
"ENSG00000163155.12",372.41,756.97,737.46,364.03,1720.74,1846.21
"ENSG00000163157.15",27.62,10.26,39.49,25.66,106.88,45.1
"ENSG00000163159.14",3992.11,3459.7,2441.43,2042.54,8659.8,6811.82
"ENSG00000143398.20",10495.92,4825.94,6548.33,5840.57,13022.21,14587.24
"ENSG00000159352.16",9737.81,7004.54,8161.47,5996.45,18595.01,17543.64
"ENSG00000232671.6",30.69,47.18,64.17,50.37,69.47,107.64
"ENSG00000143373.18",2255.92,2774.53,4234.25,1980.76,8037.23,7642.16
"ENSG00000143393.17",7087.99,3869.99,7061.69,4911.02,15740.47,15831.72
"ENSG00000265753.2",3.07,0,1.97,0,0,0
"ENSG00000273481.1",0,0,2.96,0,0,0
"ENSG00000143390.18",2388.92,3415.6,4605.45,3500.54,10065.25,13359.16
"ENSG00000224645.1",0,1.03,0,0,0,0
"ENSG00000237976.1",2.05,14.36,13.82,22.81,54.33,52.28
"ENSG00000143416.21",237.36,1878.07,1028.7,1.9,7.13,29.73
"ENSG00000159377.11",14357.08,9273.4,15453.19,8792.7,34901.04,17993.66
"ENSG00000143442.22",4240.72,4540.8,3752.48,4188.68,15779.66,7402.28
"ENSG00000238711.1",0,0,0,0,0,0
"ENSG00000143375.15",451.18,218.48,190.54,1701.32,300.15,24.6
"ENSG00000252840.1",0,0,0,0,0,0
"ENSG00000143367.16",3059.05,250.27,1174.81,666.27,6059.1,2404.9
"ENSG00000232536.1",4.09,0,1.97,0,38.3,6.15
"ENSG00000207606.1",0,0,0,1.9,0,0
"ENSG00000223861.1",22.51,20.51,15.8,57.03,13.36,16.4
"ENSG00000143376.14",2411.43,3043.27,2604.33,2212.67,11946.3,3194.23
"ENSG00000250734.2",0,2.05,0,0,5.34,0
"ENSG00000206635.1",0,0,0,0,0,0
"ENSG00000159409.15",0,0,1.97,0,25.83,2.05
"ENSG00000227045.1",0,2.05,0,0,0,0
"ENSG00000178796.13",2.05,0,0,0,8.91,0
"ENSG00000206980.1",0,0,0,0,0,0
"ENSG00000269621.1",0,0,1.97,0,11.58,2.05
"ENSG00000236940.1",0,0,0,0,0,0
"ENSG00000143436.11",4980.42,1590.87,2016.92,4579.31,10604.98,4742.13
"ENSG00000143450.19",35.81,34.87,33.57,68.43,128.25,46.13
"ENSG00000249602.1",4.09,21.54,63.18,32.32,51.66,66.63
"ENSG00000232937.1",0,0,0,0,0,0
"ENSG00000268288.1",0,15.39,19.74,1.9,18.7,12.3
"ENSG00000182134.16",194.39,1344.7,1802.69,1900.92,4665.23,2640.67
"ENSG00000203288.4",20.46,26.67,70.09,41.82,106.88,54.33
"ENSG00000269489.1",2.05,2.05,0,1.9,1.78,4.1
"ENSG00000213171.3",0,0,0,0,0,0
"ENSG00000143365.19",18.42,8.21,7.9,0,14.25,19.48
"ENSG00000225556.1",2.05,16.41,15.8,0,33.84,13.33
"ENSG00000201134.1",0,0,0,0,0,0
"ENSG00000234614.1",6.14,56.41,15.8,0,27.61,45.1
"ENSG00000196407.12",0,0,0,0,0,0
"ENSG00000159445.13",1547.94,693.38,1180.73,1661.4,3.56,1501.78
"ENSG00000285651.1",0,1.03,0,0,0,0
"ENSG00000286581.1",0,0,0,0,0,0
"ENSG00000223810.2",0,0,0,0,0,0
"ENSG00000197747.9",18124.11,9210.83,21332.17,8350.74,68.58,17883.98
"ENSG00000229021.2",4.09,2.05,0.99,2.85,56.11,0
"ENSG00000240667.1",0,0,0,0,0,0
"ENSG00000163191.6",21406.19,9697.02,134.26,7026.75,69640.88,20225.32
"ENSG00000232678.2",0,0,0,0,0,0
"ENSG00000285818.1",0,0,0,0,0,0
"ENSG00000182898.4",0,0,0,0,0,0
"ENSG00000159450.12",2.05,0,0,11.41,330.43,16.4
"ENSG00000226716.1",0,0,0,0,8.02,0
"ENSG00000233792.3",0,0,0,0,0,0
"ENSG00000215853.3",0,0,0,0,1.78,0
"ENSG00000237975.7",2.05,0,0,107.4,22.27,484.87
"ENSG00000236427.1",0,0,0,0,12.47,0
"ENSG00000197915.7",0,0,0,0,0,0
"ENSG00000143631.11",0,0,1.97,0,12.47,4.1
"ENSG00000143520.6",0,0,0,0,0,0
"ENSG00000183586.8",0,0,0,0,0,0
"ENSG00000143536.7",0,0,0,0,0,0
"ENSG00000186207.5",0,0,0,0,0,0
"ENSG00000169509.6",0,0,0,0,0,0
"ENSG00000185966.4",0,0,0,0,0,0
"ENSG00000163202.5",0,0,0,0,0,2.05
"ENSG00000244057.5",0,0,0,0,0,0
"ENSG00000187238.5",10.23,0,0,0,0,0
"ENSG00000185962.1",140.16,0,0,0,0,1.03
"ENSG00000226947.1",20.46,2.05,0,0,0,0
"ENSG00000285753.1",2.05,0,0,0,0,0
"ENSG00000187223.4",4.09,0,0,0,0,0
"ENSG00000187180.3",0,0,0,0,0,0
"ENSG00000159455.9",0,0,0,0,0,0
"ENSG00000187173.4",37.85,0,0,0,0,0
"ENSG00000187170.6",1.02,0,0,0,0,0
"ENSG00000198854.5",0,0,0,0,0.89,0
"ENSG00000229713.1",0,0,0,0,0,0
"ENSG00000233819.1",0,0,0,0,0,0
"ENSG00000203786.6",466.53,0,0,0,1.78,0
"ENSG00000240386.4",0,0,0,0,0,0
"ENSG00000186226.9",0,0,0,0,3.56,0
"ENSG00000172155.10",0,0,0,0,0,0
"ENSG00000197084.6",0,0,0,0,0,0
"ENSG00000196734.9",0,0,0,0,1.78,0
"ENSG00000186844.6",2.05,0,0,0,0,0
"ENSG00000235942.3",0,0,0,0,0,0
"ENSG00000285946.1",0,0,0,0,0,0
"ENSG00000163206.6",2.05,0,0,0,0,0
"ENSG00000163207.7",7.16,0,0,0,0,58.43
"ENSG00000224308.1",0,0,0,0,0,0
"ENSG00000283227.1",0,0,0,0,0,0
"ENSG00000184148.4",0,0,0,0,0,0
"ENSG00000169474.4",0,0,0,0,0,2.05
"ENSG00000163209.15",0,0,0,0,10.69,4.1
"ENSG00000252920.1",0,0,0,0,0,0
"ENSG00000234262.1",0,0,0,0,0,0
"ENSG00000169469.9",0,0,0,0,0,0
"ENSG00000163216.7",6.14,0,0,0,10.69,69.71
"ENSG00000241794.2",0,0,0,0,0,0
"ENSG00000196805.7",0,0,0,0,0,0
"ENSG00000203785.9",8.18,0,0,0,0,0
"ENSG00000244094.2",0,0,0,0,0,4.1
"ENSG00000229035.2",0,0,0,0,0,0
"ENSG00000159516.9",0,0,0,0,0,0
"ENSG00000229699.1",0,0,0,0,0,0
"ENSG00000203784.3",0,0,0,0,0,0
"ENSG00000203783.5",16.37,0,0,0,0,0
"ENSG00000230779.1",0,0,1.97,0,0,0
"ENSG00000203782.6",0,0,0,0,0,0
"ENSG00000159527.4",0,0,0,0,0,0
"ENSG00000163218.15",0,0,0,0,0,0
"ENSG00000207321.1",0,0,0,0,0,0
"ENSG00000163220.11",0,0,0,0,7.13,0
"ENSG00000163221.9",2.05,0,0,0,0,0
"ENSG00000237008.2",0,2.05,0,0,0,0
"ENSG00000143546.10",2.05,0,1.97,0,0,2.05
"ENSG00000224784.2",0,0,0,0,0,0
"ENSG00000184330.12",0,0,0,0,0,0
"ENSG00000203781.4",0,0,0,0,0,0
"ENSG00000197364.7",0,0,0,0,0,0
"ENSG00000143556.9",3.07,2.05,3.95,0,0,3.08
"ENSG00000263841.2",0,0,0,0,0,0
"ENSG00000238279.1",5.12,2.05,43.44,5.7,8.91,9.23
"ENSG00000197956.10",74826.02,13117.74,51629.42,17083.56,68043.94,68880.89
"ENSG00000196420.7",95.15,0,0,3.8,1.78,92.26
"ENSG00000196154.12",48698.25,5731.64,13127.26,217.66,2736.97,1655.54
"ENSG00000188015.10",1245.11,30.77,98.72,43.72,163.88,522.8
"ENSG00000196754.13",2226.25,166.16,222.13,1933.23,1341.32,18885.5
"ENSG00000285867.1",29.67,1.03,49.36,24.71,212.87,15.38
"ENSG00000188643.11",14551.46,675.94,16292.34,9852.46,30552,7902.53
"ENSG00000189334.9",20.46,0,5.92,0,24.05,9.23
"ENSG00000189171.15",1526.46,305.66,847.05,575.03,953.89,1025.1
"ENSG00000271853.5",1.02,0,0,0,1.78,0
"ENSG00000160678.12",8.18,43.08,19.74,10.46,56.11,8.2
"ENSG00000272030.1",30.69,13.33,9.87,49.42,57.89,41
"ENSG00000160679.13",6102.76,4251.55,4025.94,8175.85,10025.17,5669.85
"ENSG00000143553.11",1480.42,1655.49,2505.6,2143.29,3429.9,2168.1
"ENSG00000143621.17",23273.34,12979.27,12329.58,28436.8,24166.03,20791.17
"ENSG00000169418.10",15.35,42.05,3.95,5.7,4634.95,8.2
"ENSG00000274940.1",0,0,0,0,0,0
"ENSG00000242565.3",0,0,0,0,0,0
"ENSG00000235015.1",0,0,0,0,0,0
"ENSG00000199565.1",0,0,0,0,0,0
"ENSG00000143624.14",6176.42,3120.19,4120.72,12558.42,14830.23,7721.09
"ENSG00000243613.1",2.05,0,0,0,0,0
"ENSG00000233222.2",0,0,0,0,0.89,0
"ENSG00000143554.14",92.08,1000.06,459.06,431.51,1584.47,227.57
"ENSG00000207039.1",0,0,0,0,0,0
"ENSG00000143614.10",4517.98,3935.63,3060.43,3475.83,16660.52,4659.1
"ENSG00000231827.3",0,0,0,0,0,0
"ENSG00000223599.1",6.14,0,4.94,0,25.83,3.08
"ENSG00000236327.2",0,0,0,0,0,0
"ENSG00000284738.1",2.05,16.41,12.83,3.8,106.88,2.05
"ENSG00000198837.10",6486.42,3666.9,4808.82,3706.79,15030.62,8144.46
"ENSG00000160741.17",4177.29,3893.58,2668.5,3287.64,8274.15,4961.51
"ENSG00000143570.19",131.98,140.52,85.89,72.23,263.63,187.59
"ENSG00000285779.1",0,0,0,0,0,0
"ENSG00000276584.1",0,0,0,1.9,0,0
"ENSG00000282386.1",50.13,20.51,29.62,26.61,43.64,46.13
"ENSG00000273026.1",15.35,17.44,5.92,17.11,21.38,33.83
"ENSG00000143578.16",452.21,901.59,443.27,693.84,1438.4,1450.52
"ENSG00000143543.15",744.81,446.18,633.8,810.74,1263.83,785.23
"ENSG00000285641.1",19.44,31.8,22.71,15.21,62.35,45.1
"ENSG00000272654.1",24.55,49.23,44.43,45.62,76.6,45.1
"ENSG00000143545.10",1513.16,1257.51,878.64,676.73,1630.78,1533.56
"ENSG00000177954.14",34318.66,28079.7,17811.69,35757.24,47746.01,33295.4
"ENSG00000143552.9",2.05,0,0,0,8.02,0
"ENSG00000231416.1",2.05,2.05,0,0,0,1.03
"ENSG00000200220.1",0,0,0,0,0,0
"ENSG00000231837.2",0,0,0,0,0,0
"ENSG00000263987.1",0,0,0,0,0,0
"ENSG00000143549.21",30747.04,16849.26,23599.85,23253.94,41780.43,31902.28
"ENSG00000264384.2",0,0,0,0,0,0
"ENSG00000215938.3",0,0,0,0,0,0
"ENSG00000163263.7",21.48,0,0,1.9,3.56,0
"ENSG00000143612.21",22380.18,15507.63,11845.83,12389.24,25902.8,23279.1
"ENSG00000143569.19",23736.8,14606.04,8582.03,19486.32,28760.9,17329.4
"ENSG00000201129.1",0,1.03,0,0,0,0
"ENSG00000143575.15",5901.21,2947.88,5433.74,7822.28,12839.62,9680.06
"ENSG00000252682.1",0,0,0,0,0,0
"ENSG00000212292.1",0,0,0,0,0,0
"ENSG00000222457.1",0,0,0,0,0,0
"ENSG00000278694.1",0,0,0,0,0,0
"ENSG00000143595.13",0,0,0,0,0,4.1
"ENSG00000143515.19",4130.23,4520.28,5041.81,4705.73,6946.19,12618.01
"ENSG00000238365.3",5.12,0,0,0,4.45,2.05
"ENSG00000237920.2",0,0,0,0,0,0
"ENSG00000226855.1",10.23,6.15,2.96,6.65,3.56,1.03
"ENSG00000228013.1",4.09,0,0,2.85,13.36,1.03
"ENSG00000160712.13",2845.22,1066.73,19.74,225.26,2521.43,552.53
"ENSG00000228264.1",1.02,0,0,0,0,0
"ENSG00000169291.10",0,3.08,0,0,7.13,0
"ENSG00000273110.1",1.02,2.05,0,0,2.67,0
"ENSG00000163239.12",0,2.05,0,0,0,0
"ENSG00000160714.10",9849.32,5340.85,6130.73,5369.15,11683.56,7837.95
"ENSG00000229780.1",1.02,8.21,3.95,0,17.81,3.08
"ENSG00000286391.1",2.05,0,0,0,0,0
"ENSG00000160716.6",11.25,26.67,25.67,1.9,303.71,20.5
"ENSG00000233875.1",0,0,1.97,0,0,0
"ENSG00000160710.18",27863.96,14044.98,16602.33,24846.91,38303.33,28310.32
"ENSG00000287064.1",91.06,12.31,69.11,30.41,154.97,49.21
"ENSG00000143603.19",10.23,5378.8,15.8,14.26,97.08,226.55
"ENSG00000163344.6",1886.59,1459.58,2314.08,3259.13,4135.29,1958.98
"ENSG00000270361.1",2.05,0,0,6.65,1.78,2.05
"ENSG00000163346.17",1318.77,4137.69,7545.44,1062.61,9051.68,17045.44
"ENSG00000268154.2",0,0,0,0,0.89,0
"ENSG00000163348.4",2748.03,3399.19,4894.71,5532.63,12494.94,7079.37
"ENSG00000271380.1",9.21,111.8,117.48,113.1,103.32,49.21
"ENSG00000160691.19",19561.56,10448.86,13030.51,14360.49,14180.94,18608.73
"ENSG00000173207.13",4855.6,3220.71,3016.99,4422.49,3987.44,2149.64
"ENSG00000264349.1",2.05,1.03,1.97,33.27,6.23,4.1
"ENSG00000160688.19",3239.12,1569.33,2201.53,2262.09,4460.38,3841.07
"ENSG00000163352.5",0,0,0,0,1.78,0
"ENSG00000160685.13",1310.58,1250.33,4206.61,1900.92,3674.83,3766.23
"ENSG00000163354.15",12.28,28.72,8.89,14.26,25.83,89.18
"ENSG00000163357.11",8.18,0,0,0.95,0,6.15
"ENSG00000232093.1",40.92,82.06,57.26,125.46,79.27,46.13
"ENSG00000143537.14",13903.85,4832.1,8396.43,8837.37,6467.91,8862.03
"ENSG00000243364.8",280.33,800.05,388.97,621.6,875.51,919.52
"ENSG00000251246.1",0,0,0,0,0,0
"ENSG00000143590.14",35.81,761.07,264.58,674.83,101.53,291.13
"ENSG00000202027.1",0,0,0,0,0,0
"ENSG00000169242.12",70.59,1751.9,369.23,824.05,415.93,2602.74
"ENSG00000169241.19",2249.78,2075,6543.39,2406.56,2138.45,6346.42
"ENSG00000179085.8",332.51,766.2,1941.89,745.16,755.27,793.43
"ENSG00000223452.3",0,0,0,0,0,0
"ENSG00000163463.13",188.25,96.42,151.05,250.92,304.6,354.69
"ENSG00000273088.2",0,0,0,0,0,0
"ENSG00000163462.18",476.76,499.52,473.87,194.84,624.35,649.92
"ENSG00000185499.16",845.08,252.32,1285.38,214.8,634.14,1148.12
"ENSG00000231064.7",116.63,89.24,541.99,44.67,387.43,209.12
"ENSG00000284586.1",0,0,0,0,0,0
"ENSG00000169231.13",5302.7,2308.86,5464.34,837.35,1932.71,5367.45
"ENSG00000173171.15",1174.51,669.79,1273.53,1370.56,1518.56,1493.58
"ENSG00000236263.1",36.83,78.98,15.8,2.85,79.27,9.23
"ENSG00000160766.14",668.08,554.91,250.76,287.04,1288.77,631.46
"ENSG00000236675.1",195.41,47.18,6.91,29.46,15.14,13.33
"ENSG00000177628.16",5755.93,1499.58,3470.13,2191.76,2728.06,4626.3
"ENSG00000160767.21",4040.2,3711,5428.8,6307.25,4096.99,6613.98
"ENSG00000116521.11",7086.97,2517.08,6410.12,5008.92,9630.61,11345.86
"ENSG00000176444.19",2043.12,1793.96,1545.02,1968.4,4866.52,3188.08
"ENSG00000143630.10",186.2,399,316.9,673.88,1667.3,1318.28
"ENSG00000143627.19",3.07,0,0,1.9,5.34,8.2
"ENSG00000160752.15",18050.45,13077.74,19666.7,28958.6,31814.94,34390.21
"ENSG00000225855.7",30.69,68.72,100.7,43.72,150.52,187.59
"ENSG00000160753.16",1582.73,3230.97,4211.54,2263.04,5590.62,6309.52
"ENSG00000116539.14",6049.55,6090.64,4099.99,7152.21,15950.67,7996.84
"ENSG00000283701.1",0,0,0,0,0,0
"ENSG00000207134.1",0,0,0,0,0,0
"ENSG00000227773.1",0,0,0,0,0.89,0
"ENSG00000207144.1",0,0,0,0,0,0
"ENSG00000237872.4",0,0,0,0,0,0
"ENSG00000235919.4",73.66,75.9,72.07,132.11,63.24,70.73
"ENSG00000271267.1",0,0,0,0,0,0
"ENSG00000225082.2",2.05,0,0.99,0.95,1.78,0
"ENSG00000223503.1",2.05,2.05,0,0,0,0
"ENSG00000232519.2",9.21,2.05,3.95,6.65,0,0
"ENSG00000125459.17",1051.74,363.1,822.37,2386.6,1962.1,1589.94
"ENSG00000246203.2",98.22,12.31,27.64,68.43,60.56,126.09
"ENSG00000287839.1",402.08,48.21,134.26,218.61,169.22,300.36
"ENSG00000163374.20",3220.7,2498.62,2848.17,3895.93,9495.23,4475.61
"ENSG00000132676.16",9609.92,3873.06,7632.31,7859.35,12674.85,8765.67
"ENSG00000227673.1",0,0,0,0,0,0
"ENSG00000203761.5",162.67,108.72,145.12,612.1,569.13,387.49
"ENSG00000116580.19",3626.87,3623.82,3771.24,3850.31,10165.89,6830.27
"ENSG00000234937.1",0,0,0,0,0,0
"ENSG00000132718.9",3461.13,9525.72,9001.61,1187.12,44532.54,14968.58
"ENSG00000283442.1",0,0,0,0,0.89,0
"ENSG00000143622.11",2231.37,1580.61,2629.99,1016.99,7113.63,2658.1
"ENSG00000132680.11",3574.69,4854.66,1888.58,3304.75,5009.91,4882.57
"ENSG00000207475.1",2.05,3.08,0,4.75,3.56,0
"ENSG00000280466.1",0,0,0,0,0,0
"ENSG00000281394.1",0,0,0,0,0,0
"ENSG00000173080.6",0,4.1,0,0,1.78,0
"ENSG00000116584.20",10263.68,9553.42,6213.66,3772.37,11353.13,38763.31
"ENSG00000277817.1",0,0,0,1.9,0,2.05
"ENSG00000273002.1",15.35,19.49,5.92,23.76,63.24,18.45
"ENSG00000224276.1",0,0,0,0,0,1.03
"ENSG00000285677.2",2.05,3.08,0.99,3.8,1.78,0
"ENSG00000163479.14",10862.19,22396.27,17221.32,18018.81,16689.02,27700.38
"ENSG00000160803.8",6619.42,5367.51,3849.23,6773.93,13062.29,5017.89
"ENSG00000116586.12",1516.23,1738.57,2760.31,2080.56,3133.31,2341.34
"ENSG00000132698.15",8.18,2.05,0,1.9,1.78,0
"ENSG00000254726.3",3640.17,11841.77,1391.01,2260.19,11397.66,4225.48
"ENSG00000160789.24",51295.88,13421.35,34296.54,23839.43,112621.91,42960.09
"ENSG00000196189.13",39.9,163.09,26.66,0,120.24,75.86
"ENSG00000252236.1",0,0,0,0,0,0
"ENSG00000160785.14",3603.34,4051.54,5524.57,4481.42,11773.51,5301.84
"ENSG00000260238.6",0,0,0,0,0,0
"ENSG00000160783.19",731.51,577.47,355.4,1142.45,2525,1245.5
"ENSG00000242252.2",1.02,3.08,0,0,12.47,2.05
"ENSG00000160781.17",196.43,222.58,122.42,96,1167.64,454.12
"ENSG00000198952.8",13394.35,6802.48,10412.37,14295.86,32385.85,17327.35
"ENSG00000163472.19",675.24,252.32,388.97,364.98,1486.5,557.66
"ENSG00000198715.13",4240.72,1532.4,2257.81,692.89,2761.91,2659.12
"ENSG00000189030.10",4.09,0,0,0,1.78,2.05
"ENSG00000163468.15",51261.1,14331.15,19273.78,45449.08,63359.12,30244.69
"ENSG00000163467.12",16.37,4.1,9.87,17.11,18.7,2.05
"ENSG00000132677.13",0,18.46,0,0,16.92,8.2
"ENSG00000237390.1",0,14.36,0,0,0,0
"ENSG00000125462.19",63.43,9501.11,52.32,94.1,46.31,13.33
"ENSG00000207933.3",0,0,0,0.95,0,0
"ENSG00000116604.18",4463.76,2963.26,1990.27,2671.74,6328.07,8989.14
"ENSG00000206651.1",0,0,0,0,0.89,0
"ENSG00000260460.1",0,0,0,0,0,2.05
"ENSG00000183856.11",4510.82,3573.56,2702.06,3186.89,7862.67,8914.31
"ENSG00000187862.13",0,2.05,0,1.9,0,1.03
"ENSG00000163382.13",3077.47,3341.75,6404.19,5409.07,7043.27,5399.23
"ENSG00000160818.17",10741.46,2736.58,4005.21,9163.38,14766.99,2560.71
"ENSG00000272971.1",0,3.08,0,0,0,0
"ENSG00000132702.13",0,42.05,0,13.31,1.78,3.08
"ENSG00000272068.1",63.43,1009.29,700.94,20.91,1400.99,557.66
"ENSG00000132692.19",10.23,47.18,17.77,17.11,116.68,8.2
"ENSG00000272405.1",1014.91,1361.11,2232.14,1032.2,4219.9,2272.66
"ENSG00000229953.1",247.59,286.17,578.52,261.38,1040.28,617.11
"ENSG00000132688.11",23142.38,34503.69,42395.81,1085.42,309332.84,36046.78
"ENSG00000237588.2",0,0,0,0,0,0
"ENSG00000285570.1",0,1.03,0,0,21.38,3.08
"ENSG00000143320.9",2906.61,1335.47,989.21,4431.99,5432.97,6112.7
"ENSG00000223356.1",4.09,44.11,7.9,0.95,5.34,1.03
"ENSG00000143319.17",4865.83,4647.47,4630.13,4656.3,7974,5952.78
"ENSG00000143303.12",1676.85,1505.74,1960.65,1367.71,1534.59,2439.75
"ENSG00000143314.12",4088.28,2080.13,4408.99,5463.24,4352.61,3367.47
"ENSG00000143321.19",41261.38,34903.72,21998.55,32597.91,30048.78,25917.72
"ENSG00000143294.15",5297.58,3735.62,4549.18,7103.73,8690.97,5552.99
"ENSG00000287624.1",0,0,0,1.9,0,0
"ENSG00000027869.12",4.09,0,5.92,0,16.03,12.3
"ENSG00000198400.13",1.02,45.13,0,43.72,4255.53,24.6
"ENSG00000027644.5",0,10.26,0,0,24.05,41
"ENSG00000187800.14",295.67,18.46,3.95,815.49,47.2,61.51
"ENSG00000160838.14",24.55,0,0,39.92,1.78,0
"ENSG00000132694.19",4391.12,3835.11,4338.9,5468.94,10485.63,4718.56
"ENSG00000211581.1",0,3.08,5.92,0,0,2.05
"ENSG00000266160.2",0,0,0,0,0,0
"ENSG00000237842.2",62.41,70.77,152.03,102.65,82.83,75.86
"ENSG00000224520.2",5.12,0,0,0.95,2.67,5.13
"ENSG00000253831.3",0,0,0,0.95,18.7,4.1
"ENSG00000117036.12",2281.5,2054.49,1670.4,2108.12,5055.33,3422.82
"ENSG00000235700.1",0,0,0,0,0,0
"ENSG00000229961.3",0,0,0,0,3.56,0
"ENSG00000284592.2",0,0,0,0,0,0
"ENSG00000228239.1",0,0,0,0,0,0
"ENSG00000271736.2",0,0,0,0,0,12.3
"ENSG00000286073.1",0,0,0,0,6.23,0
"ENSG00000286151.1",0,0,0,19.96,0,0
"ENSG00000286005.1",0,0,0,0,0,0
"ENSG00000143297.19",0,0,0,0,0,0
"ENSG00000163518.11",2.05,0,0,0,0,0
"ENSG00000236731.1",0,0,0,0,0,0
"ENSG00000233712.1",0,0,0,0,0,0
"ENSG00000160856.21",6.14,0,0,0,0,0
"ENSG00000227217.1",0,0,0,0,0,0
"ENSG00000231700.3",8.18,3.08,0,0.95,1.78,6.15
"ENSG00000232366.1",0,0,0,0,0,0
"ENSG00000132704.16",0,0,0,0,1.78,2.05
"ENSG00000163534.15",3.07,0,0,0,0,2.05
"ENSG00000073754.6",13.3,0,7.9,0,0,24.6
"ENSG00000227425.1",0,0,0,0,0,0
"ENSG00000236957.7",0,0,0,0,0,0
"ENSG00000183853.18",15663.57,15369.16,17017.95,10297.28,14190.74,32212.89
"ENSG00000226520.1",2.05,1.03,7.9,1.9,1.78,6.15
"ENSG00000288460.1",0,0,0,0,0,0
"ENSG00000231666.7",2.05,43.08,0,0,0,3.08
"ENSG00000227295.2",32.74,2.05,12.83,13.31,2.67,78.93
"ENSG00000158473.8",8.18,16.41,15.8,0,8.91,15.38
"ENSG00000229914.1",0,0,0,0,0,0
"ENSG00000176320.2",0,0,0,0,0,0
"ENSG00000158477.7",0,0,0,0,0,0
"ENSG00000230942.1",0,0,0,0,0,0
"ENSG00000158481.13",0,0,0,0,0,0
"ENSG00000158485.11",0,0,0,0,0,0
"ENSG00000158488.16",0,0,0,0,0,0
"ENSG00000186306.1",0,0,0,0,0,0
"ENSG00000180708.6",0,0,0,0,0,0
"ENSG00000203758.4",0,0,0,0,0,0
"ENSG00000236257.1",2.05,0,0,1.9,4.45,2.05
"ENSG00000173285.5",0,0,0,0,0,0
"ENSG00000198965.5",0,0,0,0,0,0
"ENSG00000236656.1",0,0,0,0,0,0
"ENSG00000198703.2",0,0,0,0,0,0
"ENSG00000227445.1",0,0,0,0,0,0
"ENSG00000231434.1",7.16,10.26,15.8,19.96,7.13,4.1
"ENSG00000197532.3",0,0,0,0,0,0
"ENSG00000186440.3",0,0,0,0,0,0
"ENSG00000279111.2",0,0,0,0,0,0
"ENSG00000198967.5",0,0,0,0,0,0
"ENSG00000163554.15",66.5,0,0,0,0,0
"ENSG00000231237.1",0,0,0,0,0,0
"ENSG00000196171.3",0,0,0,0,0,0
"ENSG00000203757.2",0,0,0,0,0,0
"ENSG00000180437.5",0,0,0,0,0,0
"ENSG00000226949.1",0,0,0,0,0,0
"ENSG00000197403.5",0,0,0,0,0,0
"ENSG00000180433.6",0,0,0,0,0,0
"ENSG00000188340.3",0,0,0,0,0,0
"ENSG00000229724.1",0,0,0,0,0,0
"ENSG00000180409.3",0,0,0,0,0,0
"ENSG00000163563.8",0,0,0,0,0,0
"ENSG00000229849.1",0,0,0,0,0,0
"ENSG00000163564.15",0,0,0,0,0,0
"ENSG00000163565.19",23273.34,5923.45,4719.97,73.19,2104.61,23957.72
"ENSG00000163568.15",39.9,0,35.54,0,0,1498.7
"ENSG00000233473.2",0,0,0,0,0,2.05
"ENSG00000162706.13",2.05,16.41,5.92,3.8,0,93.28
"ENSG00000222552.1",0,0,0,0,0,0
"ENSG00000225670.4",0,0,0,0,1.78,0
"ENSG00000213088.12",0,0,0,0,0,2.05
"ENSG00000215846.6",0,0,0,0,0,0
"ENSG00000248642.1",0,0,0,0,0,0
"ENSG00000179639.10",0,0,0,0,0,0
"ENSG00000196266.6",0,0,0,0,0,0
"ENSG00000228560.1",0,0,0,0,0,0
