"","PDX22","PDX43","PDX59","G83","PDX10","HK281"
"ENSG00000169962.5",63.43,495.42,57.26,19.01,108.66,45.1
"ENSG00000107404.20",6375.92,3772.54,3876.87,4755.15,1420.59,7607.3
"ENSG00000284372.1",0,0,0,0,0,0
"ENSG00000162576.17",3036.54,498.49,0,3.8,0,2.05
"ENSG00000175756.13",5589.16,3401.24,5616.38,6189.39,2086.79,6516.59
"ENSG00000223663.2",0,2.05,1.97,0,0,0
"ENSG00000221978.12",5387.61,5487.52,2632.96,6409.9,2695.11,9020.92
"ENSG00000224870.7",884.98,1624.72,2110.71,988.48,738.35,2020.48
"ENSG00000242485.6",4648.94,2972.49,4551.15,3901.64,1824.05,2562.76
"ENSG00000264293.2",0,0,0,0,0,0
"ENSG00000272455.1",128.91,485.16,179.68,128.31,92.63,187.59
"ENSG00000235098.9",0,1061.6,0,1.9,10.69,5.13
"ENSG00000225905.1",2.05,17.44,0,0,1.78,0
"ENSG00000205116.4",0,22.57,0,22.81,1.78,6.15
"ENSG00000225285.1",2.05,223.6,0,17.11,24.05,0
"ENSG00000179403.12",87.99,1565.23,94.77,571.23,1421.48,398.77
"ENSG00000215915.10",50.13,62.57,3.95,11.41,257.4,16.4
"ENSG00000160072.20",4722.6,1318.03,914.18,3972.92,928.95,2007.16
"ENSG00000284740.1",17.39,19.49,19.74,12.36,16.03,21.53
"ENSG00000197785.14",7291.59,2254.5,3627.1,4611.63,1991.5,5302.87
"ENSG00000205090.9",17.39,196.94,15.8,17.11,32.06,38.95
"ENSG00000160075.12",8536.7,5229.04,6587.82,7295.73,3059.39,4388.47
"ENSG00000215014.5",47.06,20.51,67.13,32.32,64.13,37.93
"ENSG00000274481.1",0,0,0,0,0,0
"ENSG00000228594.4",0,1518.04,0,769.87,546.86,2323.91
"ENSG00000286989.1",0,29.75,0,10.46,52.55,129.16
"ENSG00000272106.1",133,382.59,735.49,372.58,221.77,189.64
"ENSG00000197530.13",1732.1,2165.26,1613.14,2408.46,887.98,4385.4
"ENSG00000189409.14",0,29.75,1.97,0.95,0,9.23
"ENSG00000248333.9",2615.03,1836.01,3382.27,2938.82,1082.14,2562.76
